ResponseId,id,cpq,mdpq,wnpq,all_proficiency,hardware,software,imm_sum,delay_sum,constraints,mastery,useful,map,volunteer,charity,plan,dental,pay_prescription,pay_hospital,visual,limitations,checking,retirement,vehicle,inheritance_1,debts,age,sage,education,gender,hispanic,race,couple,shealth,hearing,vision,alcohol,effort,adopt_age,duration
r_ea154pwm8ekjygr,5c476621b521ee00019abf67,50.0,67.0,34.0,151.0,5.0,26.0,8,8,25.0,20.0,15.0,1.0,0.0,1.0,0.0,0.0,,,3.0,1.0,1.0,0.0,1.0,75.0,1.0,62.0,49.0,18.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,31.0,905
r_2evjiy18dhz40rc,5d6376ec7e447f001c971315,50.0,26.0,8.0,84.0,2.0,17.0,6,7,23.0,21.0,12.0,1.0,0.0,0.0,0.0,1.0,,,4.0,2.0,1.0,0.0,0.0,1.0,0.0,64.0,45.0,13.0,0.0,0.0,2.0,0.0,3.0,4.0,4.0,0.0,1.0,42.0,1206
r_1qatqpwe5hsomzu,5db1abc3a1042700166818a6,49.0,53.0,26.0,128.0,6.0,24.0,9,9,14.0,26.0,14.0,1.0,1.0,1.0,1.0,1.0,,,4.0,0.0,1.0,1.0,1.0,100.0,0.0,67.0,40.0,16.0,1.0,0.0,1.0,1.0,4.0,3.0,4.0,0.0,1.0,40.0,1117
r_12phdydizf8fxm0,5c1021a547d07800011a23de,48.0,63.0,36.0,147.0,3.0,21.0,7,7,22.0,20.0,12.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,100.0,0.0,63.0,40.0,12.0,0.0,0.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,35.0,715
r_10os8apqrsipuau,61424e79ffecea1e1846a9aa,50.0,65.0,39.0,154.0,6.0,30.0,7,6,13.0,27.0,15.0,1.0,1.0,1.0,1.0,0.0,,,3.0,1.0,1.0,0.0,1.0,9.0,1.0,61.0,45.0,15.0,0.0,0.0,1.0,0.0,5.0,5.0,3.0,0.0,1.0,38.0,1047
r_3gwsvdxjessryp6,5dda993086c886a06ce9108d,50.0,68.0,32.0,150.0,5.0,25.0,7,6,11.0,24.0,12.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,74.0,50.0,15.0,0.0,0.0,1.0,0.0,5.0,4.0,4.0,1.0,1.0,34.0,806
r_2tmiigq2ftkrmcr,5c239f96da51990001e21d97,49.0,57.0,32.0,138.0,3.0,22.0,5,4,28.0,20.0,11.0,1.0,0.0,0.0,1.0,1.0,,,0.0,7.0,1.0,0.0,0.0,0.0,0.0,74.0,50.0,12.0,1.0,0.0,1.0,0.0,2.0,5.0,5.0,1.0,1.0,45.0,1335
r_3pul8qcyilaqwqx,5de5496937e1d50ca63e0fa5,50.0,68.0,38.0,156.0,6.0,27.0,1,1,33.0,22.0,15.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,76.0,1.0,69.0,60.0,14.0,0.0,0.0,1.0,0.0,3.0,3.0,5.0,1.0,0.0,50.0,743
r_3plt259ifexeuhb,601736d3f57edd250d376de9,50.0,68.0,40.0,158.0,6.0,25.0,8,9,20.0,24.0,15.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,1.0,62.0,50.0,14.0,0.0,0.0,1.0,0.0,4.0,4.0,4.0,1.0,1.0,37.0,1539
r_1h5j9k82epieci2,5dcc948ed9873592337ae827,50.0,68.0,38.0,156.0,6.0,30.0,7,7,16.0,27.0,15.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,100.0,1.0,60.0,50.0,18.0,0.0,0.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,25.0,863
r_2wcowavzqehrarl,5fecec76827f81eea8e1796d,50.0,60.0,27.0,137.0,5.0,26.0,5,3,40.0,23.0,15.0,0.0,0.0,1.0,1.0,1.0,,,2.0,4.0,1.0,0.0,1.0,0.0,1.0,74.0,60.0,14.0,0.0,0.0,1.0,0.0,3.0,4.0,4.0,1.0,1.0,45.0,1142
r_5bcbu6r5inxkl8t,61523e2880b86e2cf93e85c3,45.0,60.0,30.0,135.0,4.0,31.0,9,7,15.0,28.0,15.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,92.0,0.0,62.0,35.0,14.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0,1.0,1.0,35.0,1092
r_1z9prd0gfc3kqiv,5f6666e43be0b923d23c8df8,50.0,68.0,31.0,149.0,5.0,27.0,6,6,29.0,26.0,15.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,9.0,1.0,0.0,0.0,70.0,1.0,62.0,35.0,14.0,0.0,0.0,1.0,1.0,3.0,5.0,5.0,1.0,0.0,39.0,2621
r_78jn4jmbmsw7hst,571164253d47e80009635a80,50.0,68.0,34.0,152.0,5.0,28.0,6,6,13.0,26.0,15.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,0.0,1.0,90.0,1.0,75.0,65.0,13.0,0.0,0.0,1.0,1.0,2.0,4.0,5.0,0.0,1.0,50.0,1982
r_2doiecgwjl5kmcv,614fb0e5a57edac09cfeaf1f,44.0,63.0,29.0,136.0,4.0,23.0,6,6,26.0,21.0,12.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,0.0,1.0,99.0,0.0,72.0,60.0,13.0,1.0,0.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,57.0,2071
r_2q2sdmvfu2ewuin,5e9cc4fdf08add1ea3ba9120,49.0,67.0,35.0,151.0,5.0,26.0,9,7,15.0,22.0,12.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,100.0,1.0,75.0,60.0,16.0,1.0,0.0,2.0,1.0,4.0,4.0,4.0,1.0,1.0,50.0,2039
r_1pam8nhn57jflek,614fa6b5e77bfdc7af68ddf1,49.0,64.0,36.0,149.0,5.0,28.0,7,5,33.0,21.0,13.0,1.0,1.0,1.0,1.0,0.0,,,3.0,8.0,1.0,0.0,1.0,100.0,1.0,71.0,65.0,15.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,50.0,2310
r_20zrbgtaetb7mmu,5ef764821269f404a08607d7,50.0,67.0,40.0,157.0,4.0,26.0,7,6,8.0,25.0,15.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,100.0,1.0,69.0,72.0,19.0,1.0,0.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,30.0,2493
r_s869wxvoc707wdl,5e9f3f09ccc75a0c345e4845,50.0,68.0,40.0,158.0,5.0,27.0,6,6,16.0,22.0,15.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,99.0,0.0,62.0,62.0,16.0,0.0,0.0,1.0,0.0,4.0,4.0,4.0,1.0,1.0,38.0,612
r_3k5lapoqmzozfv2,5dd311bde25acf3254f36c9c,50.0,68.0,40.0,158.0,5.0,27.0,8,6,25.0,22.0,14.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,100.0,1.0,65.0,55.0,16.0,1.0,0.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,35.0,765
r_a2zbr63kiyi4ysv,614f4893a7f27d638ea5e58c,50.0,28.0,22.0,100.0,2.0,17.0,7,5,17.0,18.0,15.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,100.0,1.0,61.0,65.0,18.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,30.0,847
r_dtdi2xzptsjab4j,5bc913d99427200001dd47f5,50.0,64.0,31.0,145.0,7.0,27.0,8,7,13.0,28.0,15.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,100.0,1.0,72.0,65.0,17.0,0.0,0.0,1.0,0.0,4.0,4.0,3.0,1.0,1.0,29.0,957
r_1dlyib2xifckjzr,5d8a1d20d1afcb0019d7390b,45.0,56.0,30.0,131.0,5.0,22.0,2,3,24.0,19.0,15.0,1.0,0.0,1.0,1.0,1.0,,,2.0,0.0,1.0,0.0,1.0,91.0,1.0,70.0,60.0,18.0,1.0,0.0,1.0,1.0,4.0,5.0,3.0,0.0,1.0,35.0,890
r_1c3wj0rlvpnrjvc,5995be89f9db7d0001895993,49.0,67.0,32.0,148.0,6.0,30.0,6,3,16.0,25.0,15.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,95.0,0.0,63.0,45.0,16.0,0.0,0.0,1.0,1.0,4.0,4.0,5.0,1.0,1.0,33.0,1046
r_2uh0o8wlpdkiet5,5fd0ed3ee993330172b0b97a,50.0,64.0,32.0,146.0,4.0,21.0,3,2,12.0,24.0,11.0,1.0,0.0,0.0,0.0,0.0,,,2.0,0.0,1.0,0.0,1.0,75.0,0.0,70.0,45.0,19.0,1.0,0.0,1.0,1.0,4.0,4.0,4.0,0.0,1.0,55.0,1118
r_3cttokscx0xvbx7,614f2d5a2e23379febd50141,50.0,68.0,32.0,150.0,6.0,23.0,8,7,16.0,24.0,15.0,1.0,0.0,0.0,1.0,1.0,,,2.0,0.0,1.0,1.0,1.0,100.0,0.0,67.0,30.0,12.0,1.0,0.0,1.0,1.0,5.0,4.0,5.0,1.0,1.0,41.0,1034
r_dhr7x22y3kxfd3r,5ed559e5afbd830e2117ed55,48.0,53.0,17.0,118.0,3.0,25.0,6,4,15.0,27.0,14.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,99.0,1.0,60.0,48.0,19.0,1.0,0.0,1.0,0.0,4.0,5.0,4.0,1.0,1.0,40.0,2210
r_2yqvivraiea1sr9,586372cae16d530001b345b8,48.0,61.0,28.0,137.0,4.0,22.0,7,3,51.0,10.0,15.0,0.0,1.0,0.0,1.0,1.0,,,3.0,9.0,1.0,0.0,0.0,0.0,1.0,65.0,75.0,16.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,24.0,2590
r_31xwzlwnbuywkso,60e4c09a4b30f16f5a1053e7,42.0,49.0,16.0,107.0,3.0,22.0,7,6,22.0,22.0,15.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,64.0,57.0,16.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,30.0,686
r_3j7qqbtrjkrbtrj,583ec287ad2f4300014b355a,46.0,68.0,30.0,144.0,7.0,31.0,6,5,46.0,11.0,15.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,65.0,65.0,19.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,37.0,800
r_z1uh8adrmpzzqev,60f728553a37102574b585c4,50.0,65.0,31.0,146.0,5.0,26.0,8,8,20.0,23.0,15.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,10.0,1.0,67.0,55.0,19.0,0.0,0.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,40.0,778
r_3ldpwbxjjkewjfj,611bef869f91f800ad3b193e,50.0,61.0,31.0,142.0,4.0,27.0,3,3,32.0,19.0,15.0,1.0,1.0,1.0,1.0,0.0,,,4.0,9.0,1.0,1.0,1.0,100.0,1.0,71.0,50.0,20.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,1.0,0.0,46.0,821
r_3flcfjesj9ln1kw,5de5dba9ff87c15699804260,40.0,54.0,34.0,128.0,4.0,22.0,7,6,17.0,23.0,14.0,1.0,0.0,0.0,1.0,0.0,,,4.0,7.0,1.0,1.0,1.0,20.0,1.0,65.0,65.0,13.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,40.0,917
r_3dj5q2u8gjspuaz,61648926203a75191ac318e0,50.0,67.0,38.0,155.0,5.0,23.0,5,4,34.0,18.0,14.0,1.0,0.0,0.0,1.0,0.0,,,2.0,9.0,1.0,0.0,0.0,10.0,1.0,65.0,35.0,15.0,1.0,0.0,1.0,0.0,2.0,3.0,3.0,1.0,0.0,39.0,862
r_br8p6wwpc5pptwh,6063737f1039adcbf6428ac2,48.0,64.0,32.0,144.0,4.0,29.0,8,6,9.0,27.0,15.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,100.0,1.0,62.0,45.0,16.0,0.0,0.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,40.0,1003
r_1dpbnhjicott7ht,5eb087ed7f6d1e1232690d6a,48.0,47.0,30.0,125.0,2.0,19.0,7,7,37.0,14.0,11.0,1.0,0.0,0.0,0.0,0.0,,,2.0,8.0,1.0,0.0,1.0,0.0,1.0,61.0,65.0,18.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,0.0,1.0,35.0,1015
r_1qjz6zpj5syoosi,607c9f94cc974d4ea1dc22c8,50.0,68.0,36.0,154.0,3.0,23.0,6,4,25.0,19.0,14.0,1.0,0.0,0.0,1.0,1.0,,,2.0,1.0,1.0,0.0,1.0,100.0,1.0,65.0,45.0,14.0,1.0,0.0,1.0,0.0,3.0,3.0,3.0,0.0,1.0,42.0,1143
r_25xf4vv4sz61t0u,5d6fbd3f9ba41b0018d20082,50.0,67.0,40.0,157.0,6.0,26.0,7,3,29.0,20.0,15.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,60.0,60.0,16.0,1.0,0.0,1.0,0.0,4.0,4.0,5.0,1.0,1.0,30.0,601
r_ze4nkhbylbaguh3,60833ce5197d68cff9df1b83,49.0,67.0,34.0,150.0,3.0,27.0,6,4,23.0,22.0,15.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,4.0,9.0,1.0,1.0,1.0,100.0,0.0,66.0,70.0,20.0,1.0,0.0,1.0,1.0,2.0,4.0,3.0,1.0,0.0,32.0,1348
r_2eejg9acz84fynr,60b25fad5ef68266fae1fb73,44.0,58.0,24.0,126.0,3.0,24.0,9,7,25.0,25.0,12.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,100.0,0.0,68.0,55.0,12.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,45.0,1174
r_2xpihndrreq18a1,5dceca2541afe801a32e27ac,49.0,61.0,28.0,138.0,3.0,24.0,6,7,20.0,18.0,15.0,1.0,0.0,0.0,1.0,0.0,,,2.0,3.0,1.0,0.0,0.0,0.0,1.0,77.0,65.0,18.0,0.0,0.0,2.0,0.0,3.0,3.0,3.0,1.0,1.0,50.0,1459
r_2txfqw01n9w5ep2,5f37f046d1a0bd2af1cb0ce6,50.0,58.0,24.0,132.0,4.0,19.0,5,4,18.0,25.0,14.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,0.0,1.0,75.0,1.0,61.0,40.0,13.0,1.0,0.0,1.0,0.0,3.0,2.0,3.0,1.0,1.0,38.0,1499
r_39psqcukvbpbwdt,614fca8245a450546842e487,46.0,49.0,20.0,115.0,4.0,23.0,6,6,30.0,15.0,10.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,70.0,0.0,61.0,50.0,15.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,0.0,1.0,25.0,1393
r_1myb733kvkcy1iy,546e3778fdf99b2bc7ebcff6,46.0,61.0,27.0,134.0,3.0,20.0,4,4,40.0,9.0,14.0,0.0,1.0,1.0,1.0,0.0,,,2.0,2.0,1.0,0.0,1.0,12.0,1.0,74.0,70.0,12.0,0.0,0.0,1.0,1.0,4.0,5.0,4.0,0.0,1.0,58.0,1513
r_1rp7d8vj6ilqwar,608ca27f0fc273d395eb58bd,48.0,64.0,34.0,146.0,4.0,32.0,6,6,8.0,25.0,15.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,70.0,0.0,64.0,50.0,16.0,1.0,0.0,1.0,0.0,5.0,5.0,5.0,1.0,1.0,35.0,1589
r_3jy332zmgnyfrdv,60a7c4434b322876925afaa3,50.0,68.0,36.0,154.0,5.0,23.0,6,6,10.0,22.0,14.0,1.0,1.0,0.0,1.0,1.0,,,1.0,2.0,1.0,1.0,0.0,100.0,1.0,73.0,50.0,16.0,0.0,0.0,1.0,0.0,4.0,4.0,4.0,1.0,1.0,44.0,1763
r_1rpqlxg7s8tgzhn,61539b3fa541b182c0fadde1,42.0,49.0,30.0,121.0,4.0,23.0,5,3,30.0,16.0,13.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,100.0,0.0,63.0,50.0,20.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,40.0,2102
r_1c3gs1kzdmhijhj,59349d79f1b3f00001964d04,48.0,58.0,33.0,139.0,3.0,23.0,5,5,18.0,22.0,14.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,90.0,1.0,63.0,40.0,14.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,1.0,0.0,40.0,2738
r_1nvjry5lblmx3os,6175829c31cba7108908d548,37.0,42.0,20.0,99.0,2.0,16.0,7,5,16.0,24.0,12.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,100.0,1.0,66.0,60.0,14.0,0.0,0.0,2.0,0.0,4.0,4.0,4.0,0.0,1.0,45.0,3504
r_3lyinijiyf3fsyp,6041a8ef3e22f91aed48340b,50.0,67.0,36.0,153.0,5.0,27.0,7,6,31.0,24.0,15.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,80.0,1.0,65.0,50.0,14.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,0.0,1.0,39.0,973
r_2sjlz3qju88m4vv,59416434bb10970001f740a4,46.0,60.0,31.0,137.0,4.0,22.0,8,8,56.0,10.0,14.0,1.0,1.0,0.0,1.0,1.0,,,3.0,2.0,1.0,0.0,0.0,10.0,1.0,65.0,65.0,15.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,45.0,1071
r_2suduhqegwsqaef,60fc855e03afaabca212e804,50.0,68.0,37.0,155.0,4.0,29.0,5,5,29.0,24.0,15.0,1.0,1.0,0.0,1.0,1.0,,,3.0,2.0,1.0,1.0,1.0,71.0,0.0,67.0,16.0,21.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0,0.0,1.0,29.0,1105
r_3hxbllvrqgveie7,60c75628113cc78734583d3b,50.0,68.0,38.0,156.0,4.0,31.0,6,7,14.0,25.0,15.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,90.0,0.0,61.0,50.0,16.0,1.0,0.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,35.0,1488
r_uxhxztpwgdvpz7x,5ea7b13e8ac6491a2050e619,49.0,45.0,8.0,102.0,1.0,23.0,9,8,15.0,23.0,11.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,84.0,1.0,68.0,50.0,17.0,0.0,0.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,36.0,727
r_2ofutugl7vrzwuv,614e26c35cd6b957428a1b4c,50.0,68.0,40.0,158.0,3.0,23.0,6,5,12.0,28.0,13.0,1.0,1.0,1.0,1.0,0.0,,,3.0,0.0,1.0,1.0,1.0,100.0,0.0,67.0,67.0,19.0,1.0,0.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,47.0,815
r_22n33119l18qeih,5bf08e67d63d690001360a79,48.0,55.0,30.0,133.0,4.0,22.0,7,7,27.0,19.0,12.0,1.0,0.0,0.0,1.0,1.0,,,2.0,5.0,1.0,0.0,1.0,89.0,1.0,65.0,65.0,15.0,0.0,0.0,5.0,0.0,2.0,2.0,4.0,1.0,0.0,35.0,713
r_1frfqhp8cq7fhnp,5ecbe5e254cc883c02f52be8,50.0,67.0,31.0,148.0,4.0,20.0,6,6,18.0,25.0,9.0,1.0,0.0,0.0,0.0,1.0,,,3.0,3.0,1.0,1.0,1.0,100.0,0.0,63.0,55.0,16.0,0.0,0.0,1.0,0.0,4.0,5.0,5.0,0.0,1.0,27.0,832
r_2trkcp134drtecm,5dc483cf74939e34e55c3619,50.0,68.0,40.0,158.0,3.0,33.0,8,6,13.0,23.0,15.0,1.0,1.0,0.0,1.0,1.0,,,1.0,5.0,1.0,1.0,0.0,51.0,0.0,71.0,71.0,15.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,30.0,838
r_3ptoapqfimkc3kq,60a51f35a0db48f89d6f3a72,50.0,67.0,40.0,157.0,6.0,29.0,7,7,22.0,23.0,15.0,1.0,0.0,0.0,1.0,1.0,,,4.0,8.0,1.0,0.0,1.0,100.0,1.0,62.0,45.0,18.0,1.0,0.0,1.0,0.0,3.0,3.0,4.0,1.0,1.0,26.0,892
r_11jcxcw7kudkp87,5ca3d57fa29412001687031e,50.0,61.0,40.0,151.0,5.0,24.0,8,6,24.0,28.0,15.0,1.0,1.0,0.0,0.0,0.0,,,3.0,0.0,1.0,0.0,1.0,100.0,1.0,61.0,35.0,16.0,1.0,0.0,1.0,1.0,4.0,4.0,4.0,0.0,1.0,34.0,1088
r_1erwyboiq7yrdqu,5be5c05fd153f500019a2ef2,42.0,68.0,28.0,138.0,3.0,22.0,8,6,8.0,28.0,15.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,52.0,0.0,65.0,32.0,17.0,0.0,0.0,1.0,0.0,3.0,4.0,4.0,0.0,1.0,40.0,1194
r_vj2umtbdjbzww5x,5c745295821a97001763fb1b,50.0,68.0,40.0,158.0,4.0,24.0,6,4,8.0,28.0,15.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,51.0,1.0,60.0,20.0,16.0,0.0,0.0,2.0,0.0,4.0,3.0,3.0,0.0,0.0,40.0,1165
r_2dunlpqlfazngcs,5e3581ed0082f15283413024,50.0,49.0,24.0,123.0,3.0,24.0,9,7,9.0,28.0,15.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,99.0,0.0,61.0,51.0,20.0,1.0,0.0,1.0,1.0,4.0,3.0,4.0,0.0,1.0,40.0,1138
r_008pnbnagyobooz,5d8a64630ffb9c001746ca2c,50.0,68.0,40.0,158.0,6.0,22.0,3,4,26.0,26.0,15.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,7.0,1.0,1.0,1.0,100.0,1.0,62.0,60.0,14.0,1.0,0.0,5.0,1.0,3.0,3.0,3.0,1.0,0.0,38.0,1365
